stem	transcription	svm_weight_01	svm_weight_1	knn_2_weight	yi_la_weight	x_phon	y_phon	ends_labial_stop	ends_sibilant	ends_coronal_sonorant	ends_two_consonants	language	year	back	front	log_odds_back	stem_freq	stem_varies	sd_back
fráter	fráter	-3.2506740517354973	-3.250271925550824	-0.5284655762504095	0.3860232014814274	1.7374076823183715	0.5300085629799774	FALSE	FALSE	TRUE	FALSE	la	1372	34	997	-3.378390245345677	1031	TRUE	5.73400021685611
kódex	kódeks	-3.835417542996819	-3.90605158858199	-0.36114922433365343	0.497495309998403	-1.2914855495429105	1.6333307216740494	FALSE	TRUE	FALSE	TRUE	la	1559	19	48210	-7.838882768233227	48229	TRUE	4.358040256461757
fuser	fušer	-1.8354175429968196	-1.435385007310907	-0.7752173591619523	0.6159519110270812	0.9183670049394026	0.8778541692026524	FALSE	FALSE	TRUE	FALSE	de	1564	5	19	-1.3350010667323402	24	TRUE	1.9895560643855537
bukfenc	bukfenc	-3.835417542996819	-4.038810408045878	-2.7085082863140686	0.4666858298501064	-1.80570293523293	-0.2679929077022579	FALSE	FALSE	FALSE	TRUE	de	1574	3	3841	-7.154875739677795	3844	TRUE	1.7313747973404732
mágnes	mágneš	-3.835417542996819	-3.901804076727335	-2.505193741730691	0.5703615821898931	0.42492807127749166	0.4186725039680562	FALSE	TRUE	FALSE	FALSE	en	1577	10	15983	-7.376695843374607	15993	TRUE	3.1612888612760757
páter	páter	-3.232473347088651	-3.43256641761956	0.28854059951745287	0.5176194423416433	1.3132773524735484	1.0846804723705443	FALSE	FALSE	TRUE	FALSE	la	1585	32	923	-3.3618933317031257	955	TRUE	5.561272218755298
suszter	šuster	-1.906466449574672	-2.4382915376160628	-5.241807138312328	0.5302619056114898	1.485964766206343	-0.6226480479015083	FALSE	FALSE	TRUE	FALSE	de	1608	178	747	-1.434281634840732	925	TRUE	11.989454826097266
tróger	tróger	-2.3368992076464927	-2.336858053910244	-6.877410612474589	0.43149437981044	1.636900432079582	0.5516539553874056	FALSE	FALSE	TRUE	FALSE	de	1623	79	756	-2.258593523712511	835	TRUE	8.457289666494463
fater	fater	-1.8354159924940097	-0.9215430709072449	-0.7752173591619523	0.4903384970725559	1.2193226369582644	0.7927735463996184	FALSE	FALSE	TRUE	FALSE	yi	1628	5385	190	3.344348517430003	5575	TRUE	13.54712750649119
kókler	kókler	-3.835417542996819	-3.7432184588407575	-3.627769392520979	0.5501749268200046	0.717846782908669	-0.5604775624847664	FALSE	FALSE	TRUE	FALSE	fr	1629	29	2218	-4.337065337923838	2247	TRUE	5.350301223900468
kupec	kupec	-2.306274453781308	-2.3063412015070943	-1.0059028905638423	0.6059313696764345	-0.7140473139745519	1.2202578595269602	FALSE	FALSE	FALSE	FALSE	de	1632	72	662	-2.218599436920953	734	TRUE	8.058370164014091
kráter	kráter	-3.8354175429968222	-3.84849344872623	-4.027402132298322	0.3315303204642145	1.5096834776107937	0.3442481790710317	FALSE	FALSE	TRUE	FALSE	la	1636	87	9093	-4.649352047071329	9180	TRUE	9.283075470773596
bankett	bankett	-3.78055479421914	-3.780628981196452	-3.6542274610574097	0.6437172911604364	-2.2228078325165233	-0.8861621724933199	FALSE	FALSE	FALSE	TRUE	fr	1649	107	5232	-3.889720058675128	5339	TRUE	10.23990190063518
azbeszt	azbest	-3.835417542996819	-4.050648112565991	-2.2842359543258492	0.5978146677835605	-1.7163648648168093	0.5020350944604252	FALSE	FALSE	FALSE	TRUE	en	1655	30	3407	-4.732390035998812	3437	TRUE	5.453269086520222
okker	okker	-2.451644094076925	-2.451679517147742	-1.3897605690963768	0.5738338410698633	0.9592073451828784	0.38076635220702487	FALSE	FALSE	TRUE	FALSE	nl	1682	41	440	-2.373202660207999	481	TRUE	6.124148716776684
flanel	flanel	-1.8354175429968196	-1.6366733114191536	-1.5924301483348804	0.5011008973260717	1.314104383154887	0.3794043199481803	FALSE	FALSE	TRUE	FALSE	fr	1697	73	159	-0.7784447610718404	232	TRUE	7.07320100193633
korrekt	korrekt	-1.8354175429968196	-2.146672476469889	-3.977522603045268	0.4563693247057775	-2.6214517661695576	-1.7330777699519937	FALSE	FALSE	FALSE	TRUE	de	1698	8	15	-0.6286086594223742	23	TRUE	2.284160962880643
púder	púder	-3.322241332312603	-3.3222170063704657	-3.930588336941202	0.5126512690440624	1.1068801961430748	1.1114955241353122	FALSE	FALSE	TRUE	FALSE	fr	1713	140	4318	-3.4289051884654485	4458	TRUE	11.644887702366123
rubel	rubel	-3.3858039170518763	-3.3861546001907454	-0.9061177041611046	0.49174704163180727	0.8974271567121045	1.373637554468433	FALSE	FALSE	TRUE	FALSE	ru	1725	119	3917	-3.493957840554302	4036	TRUE	10.746689166788618
kortes	korteš	-3.835417542996819	-3.163543908527457	-1.661163212259295	0.42679432244772847	0.05704078008181597	-1.0211284617217509	FALSE	TRUE	FALSE	FALSE	NA	1750	0	452	-Inf	452	FALSE	0
koncert	koncert	-3.835417542996819	-4.454560303577634	-5.762646140433972	0.4071911039182192	-0.9429963016955092	-1.2483247557238837	FALSE	FALSE	FALSE	TRUE	de	1753	69	510521	-8.909080547284567	510590	TRUE	8.306062574593154
koffer	koffer	-1.8354175429968196	-2.1478217618600377	-2.732666828737566	0.5265485351060046	0.7926214045770821	-1.003423375250245	FALSE	FALSE	TRUE	FALSE	de	1757	668	2175	-1.180495769986139	2843	TRUE	22.60629715636893
kopek	kopek	-1.941508363404872	-1.941217438929489	-0.3214853874752883	0.6135984375112998	-0.5486874082900509	1.062043807394932	FALSE	FALSE	FALSE	FALSE	ru	1757	22	144	-1.8787708462176849	166	TRUE	4.368562389321868
láger	láger	-2.604678711321734	-2.7252995479135893	-6.998188264722273	0.4864080512927995	1.240629010729751	1.6193580629634006	FALSE	FALSE	TRUE	FALSE	de	1759	552	6769	-2.506560598231512	7321	TRUE	22.591579324129174
sóder	šóder	-3.835417542996819	-4.032602019951065	-2.5335218893932043	0.5948428788825466	1.24137622396972	1.3486213512118543	FALSE	FALSE	TRUE	FALSE	de	1781	373	1294	-1.2439150554170304	1667	TRUE	17.01585414081737
balek	balek	-1.8354175429968196	-0.34172053881347964	4.044769776592251	0.7183545086168956	-0.4571760748696845	0.34899924466494975	FALSE	FALSE	FALSE	FALSE	yi	1782	5215	225	3.1431939652304526	5440	TRUE	14.686522182720095
sakter	šakter	-3.1258732588819176	-2.6385350275875448	-1.2866875242772833	0.5727693499624333	1.4357423557682207	-0.43654535488152857	FALSE	FALSE	TRUE	FALSE	en	1782	46	226	-1.591893602783191	272	TRUE	6.182280180911741
malter	malter	-1.83541754181476	-1.7756726636438986	-2.5448985604159757	0.5423845986794132	1.154068964585033	-0.9575392632106028	FALSE	FALSE	TRUE	FALSE	de	1787	667	222	1.1001126640433443	889	TRUE	12.905906775437668
burleszk	burlesk	-3.835417542996819	-4.015483562143379	-1.1521781311362052	0.6160232420730312	-1.5251659462322618	-1.4617158296209511	FALSE	FALSE	FALSE	TRUE	fr	1788	3	1191	-5.983936280687191	1194	TRUE	1.729873495824995
lóden	lóden	-1.854084633460435	-3.085933113452125	-2.094945728215801	0.4135821156187873	0.4620946853774056	1.9062959388844396	FALSE	FALSE	TRUE	FALSE	de	1788	8	51	-1.8523840910444895	59	TRUE	2.629687098741623
pasztell	pastell	-3.0991734933206887	-3.2993734467074427	-4.727679519818011	0.466758585183543	0.28080719293365164	-1.2327036089675358	FALSE	FALSE	TRUE	TRUE	fr	1788	84	2083	-3.210747642417658	2167	TRUE	8.985760154603966
modell	modell	-3.835417542996819	-3.41199915645694	-1.751642521242958	0.51824805501413	-0.2825942606279788	0.9202991388312444	FALSE	FALSE	TRUE	TRUE	en	1789	231	523157	-7.725219178681491	523388	TRUE	15.195329774493368
szonett	sonett	-3.835417542996819	-3.646013590399453	-4.309652618012362	0.5315772785965667	-2.492900972018347	0.8927437879389957	FALSE	FALSE	FALSE	TRUE	fr	1789	20	4499	-5.4158781552871815	4519	TRUE	4.4622286855089754
balett	balett	-1.8354175429968196	-2.609762533609987	-4.098031450980992	0.687698027722593	-2.4348607487189486	0.10236987920932472	FALSE	FALSE	FALSE	TRUE	fr	1791	2755	14133	-1.635095045781136	16888	TRUE	48.016319836385144
