col 	key
id 	participant id: see parse_results
yob 	participant year of birth. substract from 2024 to get age. see parse_results
age 	part age. see parse_results
gender 	part gender.  see parse_results
total_time	total time taken by participant (sum(resp rt) so doesn't include reading consent form and waiting for fixation cross)  see parse_results
i 	part trial n  see parse_results
stem 	word stem in orthography. see make_list for how stems were picked based on RaczRebrus 2024. see set_up_predictors for how we specfied predictors
target 	target is stem + c-initial dat or v-initial pl. each stem is in there with each suffix. suffix is always back-vowel.
suffix 	suffix is  c-initial dat or v-initial pl
accept 	did participant accept word? see parse_results
rt 	participant response time, see parse_results
transcription	stem transcribed in simple one sound one letter system (useful for word distance), see parse_results
language 	stem source language, from https://uesz.nytud.hu/ where available, else from https://www.arcanum.com/hu/online-kiadvanyok/Lexikonok-magyar-etimologiai-szotar-F14D3/, else from gpt4o
log_odds_adj 	adjusted log odds: back + 1 / front + 1 in corpus, see RaczRebrus2024
neighbourhood_size 	n nouns with an edit distance of 1, see set_up_predictors
llfpm10 	log lemma frequency per 10 million, see RaczRebrus2024
stem_length stem length in characters. not super relevant, as all stems have two syllables
stem_final 	stem second syl coda
stem_phonology 	stem syl final consonant per Hayes categories (see Hayes Hungarian vowel harmony paper, RaczRebrus2024)
stem_final_consonant_cluster 	does stem end in cons cluster? also Hayes thing
log_odds_back_suffix 	suffix-level back/front counts (Dat, Pl). two forms not attested in Webcorpus2 with either suff, there it's NA
upper_time 	upper time threshold, see parse_results
lower_time 	lower tt, see parse_results
date 	date of borrowing for word. okay this is from uesz (see above), which I painstakingly automated by curling and parsing the pdfs (that's all those scripts) and then hand-checked to make sure I take the year that refers to the current meaning (you have to believe me on this one) and then there were some 12 words left not in UESZ and I used google ngrams and the english etymology as well as arcanum (see above) to guesstimate first time of use for those. so yes this is a bit hectic.
