test	training	phon_dist	edit_dist
azbest	azbest	0	0
azbest	bagett	3.1363636363636362	4
azbest	bagger	4.036607142857143	5
azbest	bakter	4.402048319327731	5
azbest	balek	4.39741935483871	5
azbest	balett	3.3440860215053765	4
azbest	bankett	3.223177723177723	4
azbest	barches	4.52741935483871	5
azbest	barrel	4.255760368663594	5
azbest	barter	4.173217674166441	5
azbest	bojler	4.949030668997299	6
azbest	borcet	4.1510501864817115	5
azbest	bovden	4.934704293285724	6
azbest	brojler	5.949030668997299	7
azbest	bróker	5.0627007401200945	6
azbest	brúder	5.032830610249965	6
azbest	bukfenc	4.481205849149397	6
azbest	bunker	4.973561747755296	6
azbest	burlesk	4.107096774193549	5
azbest	bóher	4.419075851684547	5
azbest	charter	5.173217674166441	6
azbest	codec	3.8397297591805604	5
azbest	collen	4.998298763331807	6
azbest	docenš	4.4288497442901775	5
azbest	dodžem	5.0233834674057	6
azbest	doglen	5.017708649635151	6
azbest	dojen	4.631305140863221	5
azbest	dolmen	4.562814892364065	6
azbest	doppler	5.679387536238716	7
azbest	drukker	6.069747956469637	7
azbest	dublett	3.5979563072586327	4
azbest	duett	3.242690058479532	4
azbest	dupleks	4.978908688211014	6
azbest	dózer	4.43073593073593	5
azbest	džungel	5.607101328903655	7
azbest	džóker	4.829828601630927	6
azbest	facet	3.7362745098039216	4
azbest	faglett	3.445900537634409	4
azbest	falzett	3.2089508863702414	4
azbest	farmer	3.8202764976958523	5
azbest	fater	4.379131652661064	5
azbest	fačer	4.374675324675325	5
azbest	flanel	5.097359831029186	6
azbest	flaster	4.979669287069666	6
azbest	flóbert	3.253609831029186	4
azbest	fotel	4.385653391791499	5
azbest	fráter	5.106551007499774	6
azbest	fušer	4.447402597402597	5
azbest	gaṯes	3.7196759259259258	4
azbest	grotesk	4.176286457235224	5
azbest	gukker	5.096027963971512	6
azbest	gólem	4.724181536024103	5
azbest	halef	4.401557285873192	5
azbest	hardver	5.013566525008173	6
azbest	haver	4.236749482401656	5
azbest	hostes	3.9575017993849375	5
azbest	hotel	4.357081963220071	5
azbest	jampec	3.604761904761905	5
azbest	junker	4.973561747755296	6
azbest	kadet	3.612857142857143	4
azbest	kampec	3.604761904761905	5
azbest	karcer	4.173217674166441	5
azbest	kartell	4.021702522651289	5
azbest	karter	4.173217674166441	5
azbest	klapec	4.287895545314901	6
azbest	klaster	4.979669287069666	6
azbest	klozet	4.341963642386848	5
