stem	back	front	log_odds_back	stem_freq	language	log_odds_adj	transcription	trial_type	target	prompt	stimulus	choices
koncert	69	510521	-8.909080547284567	510590	de	-8.894693768613832	koncert	pl	koncertok	<p>Ez egy koncert. Azok ott koncertok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">koncertok</p>	
koncert	69	510521	-8.909080547284567	510590	de	-8.894693768613832	koncert	dat	koncertnak	<p>Ez egy koncert. Elneveztem a kutyámat koncertnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">koncertnak</p>	
docens	6	29878	-8.513118233374207	29884	la	-8.35900102242926	docenš	pl	docensok	<p>Ez egy docens. Azok ott docensok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">docensok</p>	
docens	6	29878	-8.513118233374207	29884	la	-8.35900102242926	docenš	dat	docensnak	<p>Ez egy docens. Elneveztem a kutyámat docensnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">docensnak</p>	
projekt	193	704053	-8.201918727492497	704246	en	-8.196752177680663	projekt	pl	projektok	<p>Ez egy projekt. Azok ott projektok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">projektok</p>	
projekt	193	704053	-8.201918727492497	704246	en	-8.196752177680663	projekt	dat	projektnak	<p>Ez egy projekt. Elneveztem a kutyámat projektnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">projektnak</p>	
szovjet	8	31869	-8.289947487768288	31877	ru	-8.172195830075163	sovjet	pl	szovjetok	<p>Ez egy szovjet. Azok ott szovjetok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szovjetok</p>	
szovjet	8	31869	-8.289947487768288	31877	ru	-8.172195830075163	sovjet	dat	szovjetnak	<p>Ez egy szovjet. Elneveztem a kutyámat szovjetnak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szovjetnak</p>	
szoftver	61	191360	-8.051037885571093	191421	en	-8.034782590438166	softver	pl	szoftverok	<p>Ez egy szoftver. Azok ott szoftverok.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szoftverok</p>	
szoftver	61	191360	-8.051037885571093	191421	en	-8.034782590438166	softver	dat	szoftvernak	<p>Ez egy szoftver. Elneveztem a kutyámat szoftvernak.</p><p><span style=""font-size:24px; color:red;"">nem: ""f""</span>&emsp;<span style=""font-size:24px; color:green;"">igen: ""j""</span></p>	<p style=""font-size:48px;"">szoftvernak</p>	
