base	base_tr	variation	type	variant1	variant2	resp1	resp2	log_odds	derivational	nsyl	vowel	suffix	carrier_sentence	target_sentence	string	nchar	mgl	knn	gcm	resid
narem	narem	hotelban/hotelben	nonce word response	naremban	naremben	9	18	-0.6418538861723948	NA	NA	e	ban	Ez itt egy narem.	Ott vagyunk a...	narem	5	0.06129590177089756	0.4615384615384616	0.4200692469337552	1.9839952285395142
kábesz	kábeß	hotelban/hotelben	nonce word response	kábesznál	kábesznél	11	15	-0.2876820724517809	NA	NA	e	nál	Ez itt egy kábesz.	Nincs is jobb egy jó...	kábes	5	0.8521544883188323	0.30769230769230765	0.28094673708986323	3.0210717434028247
trájeg	trájeg	hotelban/hotelben	nonce word response	trájegban	trájegben	5	21	-1.2992829841302609	NA	NA	e	ban	Ez itt egy trájeg.	Ott vagyunk a...	trájeg	6	0.4821179614579669	0.38461538461538464	0.2455488534854379	0.31090230660339446
gótem	gótem	hotelban/hotelben	nonce word response	gótemnak	gótemnek	5	21	-1.2992829841302609	NA	NA	e	nak	Ez itt egy gótem.	Elneveztem a kutyámat...	gótem	5	0.09088159967119798	0.30769230769230765	0.22676206445150776	0.3194111476692063
spatel	spatel	hotelban/hotelben	nonce word response	spatelnak	spatelnek	4	22	-1.5260563034950494	NA	NA	e	nak	Ez itt egy spatel.	Elneveztem a kutyámat...	špatel	6	0.06534584571823446	0.30769230769230765	0.29664889476693035	-0.2320014327115466
sporzem	sporzem	hotelban/hotelben	nonce word response	sporzemnak	sporzemnek	4	25	-1.6486586255873816	NA	NA	e	nak	Ez itt egy sporzem.	Elneveztem a kutyámat...	šporzem	7	0.09088159967119798	0.2307692307692308	0.17133529487562454	-0.425230162396954
zuten	zuten	hotelban/hotelben	nonce word response	zutennál	zutennél	6	23	-1.2321436812926323	NA	NA	e	nál	Ez itt egy zuten.	Nincs is jobb egy jó...	zuten	5	0.4289503385371819	0.38461538461538464	0.28035546177528314	0.5121927471043635
pítend	pítend	hotelban/hotelben	nonce word response	pítendban	pítendben	3	26	-1.9095425048844383	NA	NA	e	ban	Ez itt egy pítend.	Ott vagyunk a...	pítend	6	1	0.2307692307692308	0.14900329345245636	-0.9597619893833255
fincek	fincek	hotelban/hotelben	nonce word response	finceknál	finceknél	4	22	-1.5260563034950494	NA	NA	e	nál	Ez itt egy fincek.	Nincs is jobb egy jó...	fincek	6	0.9267235125543556	0.30769230769230765	0.3632524822406129	-0.2614278097815591
sartely	sarte¬	hotelban/hotelben	nonce word response	sartelyban	sartelyben	9	17	-0.587786664902119	NA	NA	e	ban	Ez itt egy sartely.	Ott vagyunk a...	šartej	6	0.4821179614579669	0.5384615384615384	0.497725660955344	2.0547366680677337
priszec	prißec	hotelban/hotelben	nonce word response	priszecban	priszecben	1	26	-2.6026896854443837	NA	NA	e	ban	Ez itt egy priszec.	Ott vagyunk a...	prisec	6	0.4821179614579669	0.38461538461538464	0.2635663602841063	-2.158906176065958
sprivenc	sprivenc	hotelban/hotelben	nonce word response	sprivencnál	sprivencnél	3	23	-1.791759469228055	NA	NA	e	nál	Ez itt egy sprivenc.	Nincs is jobb egy jó...	šprivenc	8	0.4289503385371819	0.30769230769230765	0.27457895030901747	-0.7787465150392235
csimen	çimen	hotelban/hotelben	nonce word response	csimennál	csimennél	1	28	-2.6741486494265287	NA	NA	e	nál	Ez itt egy csimen.	Nincs is jobb egy jó...	čimen	5	0.4289503385371819	0.15384615384615388	0.29532122182417886	-2.305902769039441
braszenc	braßenc	hotelban/hotelben	nonce word response	braszencnál	braszencnél	8	18	-0.7472144018302211	NA	NA	e	nál	Ez itt egy braszenc.	Nincs is jobb egy jó...	brasenc	7	0.4289503385371819	0.6153846153846153	0.46870894715858935	1.6266248211265564
bidem	bidem	hotelban/hotelben	nonce word response	bidemban	bidemben	1	25	-2.5649493574615367	NA	NA	e	ban	Ez itt egy bidem.	Ott vagyunk a...	bidem	5	0.06129590177089756	0.15384615384615388	0.26999085451581906	-2.0919446171759395
kliszer	klißer	hotelban/hotelben	nonce word response	kliszernál	kliszernél	3	24	-1.8325814637483104	NA	NA	e	nál	Ez itt egy kliszer.	Nincs is jobb egy jó...	kliser	6	0.3562187676078863	0.4615384615384616	0.2834957025413037	-0.8633817532232317
dingec	dingec	hotelban/hotelben	nonce word response	dingecnak	dingecnek	3	26	-1.9095425048844383	NA	NA	e	nak	Ez itt egy dingec.	Elneveztem a kutyámat...	dingec	6	0.5651422605722124	0.07692307692307691	0.3236888948158209	-1.036987803840171
fojlegy	fojle©	hotelban/hotelben	nonce word response	fojlegynak	fojlegynek	1	28	-2.6741486494265287	NA	NA	e	nak	Ez itt egy fojlegy.	Elneveztem a kutyámat...	fojleḏ	6	0.5651422605722124	0.38461538461538464	0.2715273919605351	-2.2964126341722766
surnegy	surne©	hotelban/hotelben	nonce word response	surnegynál	surnegynél	9	17	-0.587786664902119	NA	NA	e	nál	Ez itt egy surnegy.	Nincs is jobb egy jó...	šurneḏ	6	0.4289503385371819	0.6153846153846153	0.3776156497673955	2.1143323304465764
vurnel	vurnel	hotelban/hotelben	nonce word response	vurnelnak	vurnelnek	5	21	-1.2992829841302609	NA	NA	e	nak	Ez itt egy vurnel.	Elneveztem a kutyámat...	vurnel	6	0.06534584571823446	0.2307692307692308	0.22101123371936823	0.3220142042788365
dutec	dutec	hotelban/hotelben	nonce word response	dutecnál	dutecnél	6	21	-1.1451323043030026	NA	NA	e	nál	Ez itt egy dutec.	Nincs is jobb egy jó...	dutec	5	0.4289503385371819	0.4615384615384616	0.27006037895240526	0.6985750163810154
dihely	dihe¬	hotelban/hotelben	nonce word response	dihelynak	dihelynek	1	28	-2.6741486494265287	NA	NA	e	nak	Ez itt egy dihely.	Elneveztem a kutyámat...	dihej	5	0.5651422605722124	0.6153846153846153	0.389856946723266	-2.343762470423797
hijegy	hije©	hotelban/hotelben	nonce word response	hijegynál	hijegynél	3	24	-1.8325814637483104	NA	NA	e	nál	Ez itt egy hijegy.	Nincs is jobb egy jó...	hijeḏ	5	0.4289503385371819	0.5384615384615384	0.4056787636033053	-0.9162661688109075
dajrens	dajrens	hotelban/hotelben	nonce word response	dajrensnál	dajrensnél	4	23	-1.5686159179138452	NA	NA	e	nál	Ez itt egy dajrens.	Nincs is jobb egy jó...	dajrenš	7	0.10262167757920668	0.5384615384615384	0.5311205043924967	-0.42324966755429994
sihen	sihen	hotelban/hotelben	nonce word response	sihennál	sihennél	1	26	-2.6026896854443837	NA	NA	e	nál	Ez itt egy sihen.	Nincs is jobb egy jó...	šihen	5	0.4289503385371819	0.38461538461538464	0.3616994143488695	-2.196958547679531
brigeszt	brigeßt	hotelban/hotelben	nonce word response	brigesztnak	brigesztnek	1	26	-2.6026896854443837	NA	NA	e	nak	Ez itt egy brigeszt.	Elneveztem a kutyámat...	brigest	7	0.5651422605722124	0.4615384615384616	0.26645615101604914	-2.16002308327246
navec	navec	hotelban/hotelben	nonce word response	navecban	navecben	12	17	-0.325422400434628	NA	NA	e	ban	Ez itt egy navec.	Ott vagyunk a...	navec	5	0.4821179614579669	0.6153846153846153	0.4334777458539767	3.0012242770128443
giheszt	giheßt	hotelban/hotelben	nonce word response	gihesztnak	gihesztnek	2	27	-2.2335922215070942	NA	NA	e	nak	Ez itt egy giheszt.	Elneveztem a kutyámat...	gihest	6	0.5651422605722124	0.2307692307692308	0.3085453484972539	-1.6251806396051833
bródesz	bródeß	hotelban/hotelben	nonce word response	bródesznak	bródesznek	6	20	-1.0986122886681098	NA	NA	e	nak	Ez itt egy bródesz.	Elneveztem a kutyámat...	bródes	6	0.888284466719602	0.6923076923076923	0.3507670826049031	0.7556066153785985
vublet	vublet	hotelban/hotelben	nonce word response	vubletnál	vubletnél	6	20	-1.0986122886681098	NA	NA	e	nál	Ez itt egy vublet.	Nincs is jobb egy jó...	vublet	6	0.4289503385371819	0.30769230769230765	0.17695253769124716	0.836447172817221
hóbens	hóbens	hotelban/hotelben	nonce word response	hóbensban	hóbensben	5	22	-1.3437347467010947	NA	NA	e	ban	Ez itt egy hóbens.	Ott vagyunk a...	hóbenš	6	0.4821179614579669	0.2307692307692308	0.35607707862590554	0.1699880493015838
jurdent	jurdent	hotelban/hotelben	nonce word response	jurdentnál	jurdentnél	7	19	-0.916290731874155	NA	NA	e	nál	Ez itt egy jurdent.	Nincs is jobb egy jó...	jurdent	7	0.4289503385371819	0.38461538461538464	0.2939908269540097	1.2549000179673575
rapszek	rapßek	hotelban/hotelben	nonce word response	rapszeknál	rapszeknél	6	23	-1.2321436812926323	NA	NA	e	nál	Ez itt egy rapszek.	Nincs is jobb egy jó...	rapsek	6	0.9267235125543556	0.4615384615384616	0.3581330180570731	0.47446209848687915
priszkenc	prißkenc	hotelban/hotelben	nonce word response	priszkencnak	priszkencnek	2	25	-2.159484249353372	NA	NA	e	nak	Ez itt egy priszkenc.	Elneveztem a kutyámat...	priskenc	8	0.5651422605722124	0.30769230769230765	0.2680203007475521	-1.462146684322923
ítens	ítens	hotelban/hotelben	nonce word response	ítensban	ítensben	4	25	-1.6486586255873816	NA	NA	e	ban	Ez itt egy ítens.	Ott vagyunk a...	ítenš	5	0.4821179614579669	0.30769230769230765	0.2699663956755194	-0.47035025458498564
júder	júder	hotelban/hotelben	nonce word response	júdernak	júdernek	10	19	-0.5978370007556204	NA	NA	e	nak	Ez itt egy júder.	Elneveztem a kutyámat...	júder	5	0.6400520041772518	0.5384615384615384	0.36475978883838295	2.2237499492185564
