stem	transcription	language	log_odds_adj	neighbourhood_size	llfpm10	stem_length	stem_final	stem_phonology	stem_final_consonant_cluster	suffix	log_odds_back_suffix	date	yi_la	knn	x_phon	y_phon
koncert	koncert	de	-8.894693768613832	0	3.0752510936798796	7	rt	other	4	Pl	-11.459239837550424	1833	0.07824362906513575	-1.30153777651735	-0.9429963016955092	-1.2483247557238837
koncert	koncert	de	-8.894693768613832	0	3.0752510936798796	7	rt	other	4	Dat	-8.901911226379612	1833	0.07824362906513575	-1.30153777651735	-0.9429963016955092	-1.2483247557238837
docens	docenš	la	-8.35900102242926	0	2.334254917204184	6	nš	sibilant	4	Pl	-7.168579897264035	1846	0.05708787516504354	-1.999200574866404	-1.1459052958593623	1.3286820751609651
docens	docenš	la	-8.35900102242926	0	2.334254917204184	6	nš	sibilant	4	Dat	-6.790097235513905	1846	0.05708787516504354	-1.999200574866404	-1.1459052958593623	1.3286820751609651
projekt	projekt	en	-8.196752177680663	0	3.416526341311925	7	kt	other	4	Pl	-11.263164115751726	1960	0.1981282494512222	-2.3108558802881403	-2.1187831206328145	0.28049536134487113
projekt	projekt	en	-8.196752177680663	0	3.416526341311925	7	kt	other	4	Dat	-8.264620829411216	1960	0.1981282494512222	-2.3108558802881403	-2.1187831206328145	0.28049536134487113
szovjet	sovjet	ru	-8.172195830075163	0	2.59966886920045	7	t	other	4	Pl	-8.924489954353373	1919	0.5184941196204517	-0.5954041874336226	-0.8998039228898858	-0.435095768004488
szovjet	sovjet	ru	-8.172195830075163	0	2.59966886920045	7	t	other	4	Dat	-5.8111409929767	1919	0.5184941196204517	-0.5954041874336226	-0.8998039228898858	-0.435095768004488
szoftver	softver	en	-8.034782590438166	0	2.8823776554889804	8	r	coronal_sonorant	4	Pl	-10.749602570784166	1980	0.26408231523505316	1.050015097244415	1.5983353456484632	-1.1429381010641997
szoftver	softver	en	-8.034782590438166	0	2.8823776554889804	8	r	coronal_sonorant	4	Dat	-7.163791873598372	1980	0.26408231523505316	1.050015097244415	1.5983353456484632	-1.1429381010641997
kódex	kódex	la	-7.787610216215079	0	2.156884917051594	5	x	other	4	Pl	-8.924789360533357	1750	NA	NA	NA	NA
kódex	kódex	la	-7.787610216215079	0	2.156884917051594	5	x	other	4	Dat	-7.068597804098967	1750	NA	NA	NA	NA
modell	modell	en	-7.720901429007229	0	3.2458076642479075	6	ll	coronal_sonorant	4	Pl	-11.15829604656456	1980	0.2133085140173435	-1.9558232960605288	-0.2825942606279788	0.9202991388312444
modell	modell	en	-7.720901429007229	0	3.2458076642479075	6	ll	coronal_sonorant	4	Dat	-7.154908282756699	1980	0.2133085140173435	-1.9558232960605288	-0.2825942606279788	0.9202991388312444
konszern	konsern	de	-7.451386854473306	0	1.5587549012315391	8	rn	coronal_sonorant	4	Pl	-7.475905969367397	1920	0.09492138439458392	-1.9956507793902485	-0.4501033614633276	-1.3872255023192888
konszern	konsern	de	-7.451386854473306	0	1.5587549012315391	8	rn	coronal_sonorant	4	Dat	-6.652863029353347	1920	0.09492138439458392	-1.9956507793902485	-0.4501033614633276	-1.3872255023192888
sláger	šláger	de	-7.314590876112485	2	2.2587678514546465	6	r	coronal_sonorant	4	Pl	-8.446395120107523	1854	0.11179887626649704	-1.5984431110778274	1.687996817688111	0.6247359973007642
sláger	šláger	de	-7.314590876112485	2	2.2587678514546465	6	r	coronal_sonorant	4	Dat	-5.318119993844216	1854	0.11179887626649704	-1.5984431110778274	1.687996817688111	0.6247359973007642
mágnes	mágneš	en	-7.281448228089964	1	1.8441518280462148	6	š	sibilant	4	Pl	-8.773694146384443	1915	0.300758305579486	-1.6644071058043932	0.42492807127749166	0.4186725039680562
mágnes	mágneš	en	-7.281448228089964	1	1.8441518280462148	6	š	sibilant	4	Dat	-5.264760583019194	1915	0.300758305579486	-1.6644071058043932	0.42492807127749166	0.4186725039680562
partner	partner	en	-7.235716825935441	1	3.170887565855278	7	r	coronal_sonorant	4	Pl	-9.323720076389852	1839	0.19974617312004417	-1.4392761816505788	1.431642272441417	-1.5864677706929176
partner	partner	en	-7.235716825935441	1	3.170887565855278	7	r	coronal_sonorant	4	Dat	-4.651841705297238	1839	0.19974617312004417	-1.4392761816505788	1.431642272441417	-1.5864677706929176
pollen	pollen	la	-7.177686991795106	2	1.5346232211256754	6	n	coronal_sonorant	4	Pl	-7.9991750970687425	1750	0.31256200371816856	-1.2289162565335594	-0.3299898424385413	-1.3301360846207744
pollen	pollen	la	-7.177686991795106	2	1.5346232211256754	6	n	coronal_sonorant	4	Dat	-4.204692619390966	1750	0.31256200371816856	-1.2289162565335594	-0.3299898424385413	-1.3301360846207744
szlogen	slogen	en	-7.112076645286435	0	1.9318761017045023	7	n	coronal_sonorant	4	Pl	-6.887807641172441	1960	0.08420071467337574	-2.1420341408417594	0.6546794611741797	1.021062033943784
