stem	transcription	log_odds_back_total	stem_freq	language	suffix	llfpm10	form_varies	log_odds_back_suffix
koncert	koncert	-8.909080547284567	510590	de	Pl	3.0752510936798796	FALSE	-11.459239837550424
koncert	koncert	-8.909080547284567	510590	de	Dat	3.0752510936798796	FALSE	-8.901911226379612
docens	docenš	-8.513118233374207	29884	la	Pl	2.334254917204184	FALSE	-7.168579897264035
docens	docenš	-8.513118233374207	29884	la	Dat	2.334254917204184	FALSE	-6.790097235513905
projekt	projekt	-8.201918727492497	704246	en	Pl	3.416526341311925	TRUE	-11.263164115751726
projekt	projekt	-8.201918727492497	704246	en	Dat	3.416526341311925	TRUE	-8.264620829411216
szovjet	sovjet	-8.289947487768288	31877	ru	Pl	2.59966886920045	TRUE	-8.924489954353373
szovjet	sovjet	-8.289947487768288	31877	ru	Dat	2.59966886920045	FALSE	-5.8111409929767
szoftver	softver	-8.051037885571093	191421	en	Pl	2.8823776554889804	TRUE	-10.749602570784166
szoftver	softver	-8.051037885571093	191421	en	Dat	2.8823776554889804	TRUE	-7.163791873598372
kódex	kódex	-7.838882768233227	48229	la	Pl	2.156884917051594	FALSE	-8.924789360533357
kódex	kódex	-7.838882768233227	48229	la	Dat	2.156884917051594	TRUE	-7.068597804098967
modell	modell	-7.725219178681491	523388	en	Pl	3.2458076642479075	TRUE	-11.15829604656456
modell	modell	-7.725219178681491	523388	en	Dat	3.2458076642479075	TRUE	-7.154908282756699
konszern	konsern	-7.738923757439457	6891	de	Pl	1.5587549012315391	FALSE	-7.475905969367397
konszern	konsern	-7.738923757439457	6891	de	Dat	1.5587549012315391	FALSE	-6.652863029353347
sláger	šláger	-7.343559391272451	52605	de	Pl	2.2587678514546465	TRUE	-8.446395120107523
sláger	šláger	-7.343559391272451	52605	de	Dat	2.2587678514546465	TRUE	-5.318119993844216
mágnes	mágneš	-7.376695843374607	15993	en	Pl	1.8441518280462148	FALSE	-8.773694146384443
mágnes	mágneš	-7.376695843374607	15993	en	Dat	1.8441518280462148	TRUE	-5.264760583019194
partner	partner	-7.237836191251888	655670	en	Pl	3.170887565855278	TRUE	-9.323720076389852
partner	partner	-7.237836191251888	655670	en	Dat	3.170887565855278	TRUE	-4.651841705297238
pollen	pollen	-7.311122950912852	10485	la	Pl	1.5346232211256754	TRUE	-7.9991750970687425
pollen	pollen	-7.311122950912852	10485	la	Dat	1.5346232211256754	FALSE	-4.204692619390966
szlogen	slogen	-7.151266004088514	31918	en	Pl	1.9318761017045023	TRUE	-6.887807641172441
szlogen	slogen	-7.151266004088514	31918	en	Dat	1.9318761017045023	FALSE	-6.739336627357174
bukfenc	bukfenc	-7.154875739677795	3844	de	Pl	1.0306613020268856	FALSE	-6.577861357721047
bukfenc	bukfenc	-7.154875739677795	3844	de	Dat	1.0306613020268856	FALSE	-4.574710978503383
hosztesz	hostes	-Inf	898	NA	Pl	0.4593602709032462	FALSE	-6.555356891810665
hosztesz	hostes	-Inf	898	NA	Dat	0.4593602709032462	FALSE	-3.713572066704308
ágens	ágenš	-6.923347373741973	7117	la	Pl	1.3130456667326265	TRUE	-7.778420832830016
ágens	ágenš	-6.923347373741973	7117	la	Dat	1.3130456667326265	TRUE	-5.278114659230518
gólem	gólem	-7.459338895220296	1737	yi	Pl	0.9666714958476778	FALSE	-6.082218910376446
gólem	gólem	-7.459338895220296	1737	yi	Dat	0.9666714958476778	TRUE	-4.1588830833596715
totem	totem	-6.918200536843676	2023	en	Pl	0.8624780099324221	FALSE	-6.1675164908883415
totem	totem	-6.918200536843676	2023	en	Dat	0.8624780099324221	FALSE	-4.07753744390572
drukker	drukker	-6.530013416804646	18533	de	Pl	1.599349006057054	TRUE	-7.273023197338889
drukker	drukker	-6.530013416804646	18533	de	Dat	1.599349006057054	TRUE	-4.3400879454535515
nonszensz	nonsens	-6.897704943128636	1982	en	Dat	1.2858393542194446	TRUE	-6.436951329565632
nonszensz	nonsens	-6.897704943128636	1982	en	Pl	1.2858393542194446	FALSE	-6.2766434893416445
lumen	lumen	-6.779921907472252	1762	la	Dat	1.3578062989248016	FALSE	-4.406719247264253
lumen	lumen	-6.779921907472252	1762	la	Pl	1.3578062989248016	FALSE	-4.382026634673881
token	token	-6.48565252972095	3940	en	Pl	1.245905770590949	FALSE	-7.755338812846501
token	token	-6.48565252972095	3940	en	Dat	1.245905770590949	TRUE	-4.102643365036796
duett	duett	-6.3657829262193095	11652	it	Pl	1.4809516014593376	FALSE	-7.035268599281097
duett	duett	-6.3657829262193095	11652	it	Dat	1.4809516014593376	FALSE	-5.117993812416755
kortes	korteš	-Inf	452	NA	Pl	0.13557201061440527	FALSE	-5.402677381872279
kortes	korteš	-Inf	452	NA	Dat	0.13557201061440527	FALSE	-3.367295829986474
omlett	omlett	-6.0349496590477205	3769	fr	Dat	0.9301594617947097	FALSE	-6.47543271670409
omlett	omlett	-6.0349496590477205	3769	fr	Pl	0.9301594617947097	FALSE	-5.497168225293202
